subject,action,trial,label,rgb_path,depth_path
1,10,1,9,data\utd_mhad\RGB-part2\a10_s1_t1_color.avi,data\utd_mhad\Depth\a10_s1_t1_depth.mat
1,10,2,9,data\utd_mhad\RGB-part2\a10_s1_t2_color.avi,data\utd_mhad\Depth\a10_s1_t2_depth.mat
1,10,3,9,data\utd_mhad\RGB-part2\a10_s1_t3_color.avi,data\utd_mhad\Depth\a10_s1_t3_depth.mat
1,10,4,9,data\utd_mhad\RGB-part2\a10_s1_t4_color.avi,data\utd_mhad\Depth\a10_s1_t4_depth.mat
2,10,1,9,data\utd_mhad\RGB-part2\a10_s2_t1_color.avi,data\utd_mhad\Depth\a10_s2_t1_depth.mat
2,10,2,9,data\utd_mhad\RGB-part2\a10_s2_t2_color.avi,data\utd_mhad\Depth\a10_s2_t2_depth.mat
2,10,3,9,data\utd_mhad\RGB-part2\a10_s2_t3_color.avi,data\utd_mhad\Depth\a10_s2_t3_depth.mat
2,10,4,9,data\utd_mhad\RGB-part2\a10_s2_t4_color.avi,data\utd_mhad\Depth\a10_s2_t4_depth.mat
3,10,1,9,data\utd_mhad\RGB-part2\a10_s3_t1_color.avi,data\utd_mhad\Depth\a10_s3_t1_depth.mat
3,10,2,9,data\utd_mhad\RGB-part2\a10_s3_t2_color.avi,data\utd_mhad\Depth\a10_s3_t2_depth.mat
3,10,3,9,data\utd_mhad\RGB-part2\a10_s3_t3_color.avi,data\utd_mhad\Depth\a10_s3_t3_depth.mat
3,10,4,9,data\utd_mhad\RGB-part2\a10_s3_t4_color.avi,data\utd_mhad\Depth\a10_s3_t4_depth.mat
4,10,1,9,data\utd_mhad\RGB-part2\a10_s4_t1_color.avi,data\utd_mhad\Depth\a10_s4_t1_depth.mat
4,10,2,9,data\utd_mhad\RGB-part2\a10_s4_t2_color.avi,data\utd_mhad\Depth\a10_s4_t2_depth.mat
4,10,3,9,data\utd_mhad\RGB-part2\a10_s4_t3_color.avi,data\utd_mhad\Depth\a10_s4_t3_depth.mat
4,10,4,9,data\utd_mhad\RGB-part2\a10_s4_t4_color.avi,data\utd_mhad\Depth\a10_s4_t4_depth.mat
5,10,1,9,data\utd_mhad\RGB-part2\a10_s5_t1_color.avi,data\utd_mhad\Depth\a10_s5_t1_depth.mat
5,10,2,9,data\utd_mhad\RGB-part2\a10_s5_t2_color.avi,data\utd_mhad\Depth\a10_s5_t2_depth.mat
5,10,3,9,data\utd_mhad\RGB-part2\a10_s5_t3_color.avi,data\utd_mhad\Depth\a10_s5_t3_depth.mat
5,10,4,9,data\utd_mhad\RGB-part2\a10_s5_t4_color.avi,data\utd_mhad\Depth\a10_s5_t4_depth.mat
6,10,1,9,data\utd_mhad\RGB-part2\a10_s6_t1_color.avi,data\utd_mhad\Depth\a10_s6_t1_depth.mat
6,10,2,9,data\utd_mhad\RGB-part2\a10_s6_t2_color.avi,data\utd_mhad\Depth\a10_s6_t2_depth.mat
6,10,3,9,data\utd_mhad\RGB-part2\a10_s6_t3_color.avi,data\utd_mhad\Depth\a10_s6_t3_depth.mat
6,10,4,9,data\utd_mhad\RGB-part2\a10_s6_t4_color.avi,data\utd_mhad\Depth\a10_s6_t4_depth.mat
7,10,1,9,data\utd_mhad\RGB-part2\a10_s7_t1_color.avi,data\utd_mhad\Depth\a10_s7_t1_depth.mat
7,10,2,9,data\utd_mhad\RGB-part2\a10_s7_t2_color.avi,data\utd_mhad\Depth\a10_s7_t2_depth.mat
7,10,3,9,data\utd_mhad\RGB-part2\a10_s7_t3_color.avi,data\utd_mhad\Depth\a10_s7_t3_depth.mat
7,10,4,9,data\utd_mhad\RGB-part2\a10_s7_t4_color.avi,data\utd_mhad\Depth\a10_s7_t4_depth.mat
8,10,1,9,data\utd_mhad\RGB-part2\a10_s8_t1_color.avi,data\utd_mhad\Depth\a10_s8_t1_depth.mat
8,10,2,9,data\utd_mhad\RGB-part2\a10_s8_t2_color.avi,data\utd_mhad\Depth\a10_s8_t2_depth.mat
